timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.093276,-0.151247,0.215476,,,,
0.0005,0,4,0,0,0,0,0,0,0.093614,-0.151230,0.215552,-0.109764,0.082010,-0.023624,-0.990287
0.0464,0,6,0,5,0,1,0,4,0.093641,-0.151236,0.215577,-0.110426,0.083818,-0.024571,-0.990039
0.0833,0,11,0,12,0,8,0,12,0.093550,-0.151212,0.215566,-0.109081,0.081376,-0.023195,-0.990425
0.1195,0,21,0,22,0,15,0,16,0.093291,-0.151148,0.215579,-0.109940,0.081753,-0.024216,-0.990274
0.1564,0,32,0,34,0,18,0,19,0.092780,-0.151183,0.215523,-0.112960,0.077139,-0.024475,-0.990298
0.1924,0,44,0,45,0,20,0,19,0.092279,-0.151480,0.215509,-0.110614,0.076586,-0.017748,-0.990749
0.2285,0,56,0,57,0,19,0,20,0.091900,-0.151406,0.215483,-0.103897,0.076295,-0.021138,-0.991432
0.2652,0,68,0,68,0,19,0,19,0.091390,-0.151369,0.215028,-0.101877,0.073730,-0.027336,-0.991684
0.3013,0,79,0,81,0,18,0,20,0.090841,-0.151462,0.215165,-0.099306,0.076287,-0.025338,-0.991805
0.3373,0,90,0,92,0,18,0,20,0.090362,-0.151273,0.215032,-0.103421,0.067939,-0.022986,-0.992048
0.3734,0,102,0,103,0,19,0,19,0.089844,-0.151269,0.215681,-0.089048,0.089320,-0.027840,-0.991624
0.4102,0,113,0,114,0,18,0,19,0.089292,-0.151374,0.215726,-0.094753,0.095589,-0.025780,-0.990566
0.4463,0,124,0,125,0,19,0,20,0.088777,-0.151521,0.215524,-0.101655,0.104651,-0.028906,-0.988878
0.4821,0,136,0,137,0,19,0,20,0.088342,-0.151474,0.215516,-0.108504,0.099273,-0.030884,-0.988644
0.5193,0,149,0,149,0,18,0,19,0.088137,-0.151543,0.215056,-0.097834,0.091857,-0.020070,-0.990751
0.5603,0,160,0,160,0,18,0,19,0.087455,-0.151566,0.214667,-0.112816,0.078287,-0.012113,-0.990453
0.5972,0,173,0,172,0,20,0,19,0.086827,-0.151628,0.214815,-0.137612,0.077401,-0.018383,-0.987286
0.6333,0,184,0,184,0,19,0,20,0.086464,-0.151611,0.214848,-0.115555,0.082572,-0.025269,-0.989540
0.6691,0,194,0,195,0,18,0,20,0.085988,-0.151594,0.214911,-0.105806,0.086056,-0.027433,-0.990276
0.7053,0,206,0,208,0,18,0,19,0.085264,-0.151632,0.214737,-0.129509,0.068869,-0.015105,-0.989068
0.7451,0,217,0,219,0,18,0,19,0.084695,-0.151621,0.214915,-0.126312,0.066323,-0.013543,-0.989678
0.7813,0,229,0,230,0,20,0,19,0.084374,-0.151694,0.214645,-0.115821,0.077274,-0.015967,-0.990131
0.8182,0,241,0,242,0,18,0,20,0.083861,-0.151778,0.214633,-0.100000,0.079886,-0.013987,-0.991677
0.8546,0,253,0,254,0,17,0,19,0.083390,-0.151937,0.215109,-0.092280,0.114647,-0.023752,-0.988826
